	PSSM-Id	CD accession	CD short name	CD description	PSSM-Length
16182	240285	PTZ00135	PTZ00135	60S acidic ribosomal protein P0; Provisional	310
16195	240292	PTZ00148	PTZ00148	40S ribosomal protein S8; Provisional	205
16201	240295	PTZ00154	PTZ00154	40S ribosomal protein S17; Provisional	134
16202	185484	PTZ00155	PTZ00155	40S ribosomal protein S9; Provisional	181
16203	185485	PTZ00156	PTZ00156	60S ribosomal protein L11; Provisional	172
16204	240296	PTZ00157	PTZ00157	60S ribosomal protein L36a; Provisional	84
16205	185487	PTZ00158	PTZ00158	40S ribosomal protein S15A; Provisional	130
16206	240297	PTZ00159	PTZ00159	60S ribosomal protein L32; Provisional	133
16207	185489	PTZ00160	PTZ00160	60S ribosomal protein L27a; Provisional	147
16218	185497	PTZ00172	PTZ00172	40S ribosomal protein S26; Provisional	108
16219	185498	PTZ00173	PTZ00173	60S ribosomal protein L10; Provisional	213
16223	240306	PTZ00178	PTZ00178	60S ribosomal protein L17; Provisional	181
16224	140206	PTZ00179	PTZ00179	60S ribosomal protein L9; Provisional	189
16225	173464	PTZ00180	PTZ00180	60S ribosomal protein L8; Provisional	260
16226	140208	PTZ00181	PTZ00181	60S ribosomal protein L38; Provisional	82
16234	240309	PTZ00189	PTZ00189	60S ribosomal protein L21; Provisional	160
16235	140217	PTZ00190	PTZ00190	60S ribosomal protein L29; Provisional	70
16236	185507	PTZ00191	PTZ00191	60S ribosomal protein L23a; Provisional	145
16237	173472	PTZ00192	PTZ00192	60S ribosomal protein L13; Provisional	218
16238	140220	PTZ00193	PTZ00193	60S ribosomal protein L31; Provisional	188
16239	185508	PTZ00194	PTZ00194	60S ribosomal protein L26; Provisional	143
16240	140222	PTZ00195	PTZ00195	60S ribosomal protein L18; Provisional	198
16241	185509	PTZ00196	PTZ00196	60S ribosomal protein L36; Provisional	98
16242	185510	PTZ00197	PTZ00197	60S ribosomal protein L28; Provisional	146
16243	173474	PTZ00198	PTZ00198	60S ribosomal protein L22; Provisional	122
16263	185518	PTZ00218	PTZ00218	40S ribosomal protein S29; Provisional	54
16267	140249	PTZ00222	PTZ00222	60S ribosomal protein L7a; Provisional	263
16268	140250	PTZ00223	PTZ00223	40S ribosomal protein S4; Provisional	273
16270	140252	PTZ00225	PTZ00225	60S ribosomal protein L10a; Provisional	214
16285	140267	PTZ00240	PTZ00240	60S ribosomal protein P0; Provisional	323
16286	240326	PTZ00241	PTZ00241	40S ribosomal protein S11; Provisional	158
16299	240331	PTZ00254	PTZ00254	40S ribosomal protein SA; Provisional	249
16300	240332	PTZ00255	PTZ00255	60S ribosomal protein L37a; Provisional	90
16360	140341	PTZ00320	PTZ00320	ribosomal protein L14; Provisional	188
16361	240358	PTZ00321	PTZ00321	ribosomal protein L11; Provisional	342
16391	240377	PTZ00352	PTZ00352	60S ribosomal protein L13; Provisional	212
16404	240382	PTZ00365	PTZ00365	60S ribosomal protein L7Ae-like; Provisional	266
16412	185582	PTZ00373	PTZ00373	60S Acidic ribosomal protein P2; Provisional	112
16426	240396	PTZ00388	PTZ00388	40S ribosomal protein S8-like; Provisional	223
16427	185592	PTZ00389	PTZ00389	40S ribosomal protein S7; Provisional	184
16464	185611	PTZ00428	PTZ00428	60S ribosomal protein L4; Provisional	381
16472	185616	PTZ00436	PTZ00436	60S ribosomal protein L19-like protein; Provisional	357
16502	185646	PTZ00467	PTZ00467	40S ribosomal protein S30; Provisional	66
16506	240428	PTZ00471	PTZ00471	60S ribosomal protein L27; Provisional	134
16528	272847	TIGR00001	rpmI_bact	ribosomal protein L35. This ribosomal protein is found in bacteria and organelles only. It is not closely related to any eukaryotic or archaeal ribosomal protein. [Protein synthesis, Ribosomal proteins: synthesis and modification]	63
16529	272848	TIGR00002	S16	ribosomal protein S16. This model describes ribosomal S16 of bacteria and organelles. [Protein synthesis, Ribosomal proteins: synthesis and modification]	78
16536	272851	TIGR00009	L28	ribosomal protein L28. This model describes bacterial and chloroplast forms of the 50S ribosomal protein L28, a polypeptide about 60 amino acids in length. Mitochondrial homologs differ substantially in architecture (e.g. SP|P36525 from Saccharomyces cerevisiae, which is 258 amino acids long) and are not included. [Protein synthesis, Ribosomal proteins: synthesis and modification]	56
16539	272854	TIGR00012	L29	ribosomal protein L29. This model describes a ribosomal large subunit protein, called L29 in prokaryotic (50S) large subunits and L35 in eukaryotic (60S) large subunits. [Protein synthesis, Ribosomal proteins: synthesis and modification]	55
16555	211539	TIGR00029	S20	ribosomal protein S20. This family consists of bacterial (and chloroplast) examples of the bacteria ribosomal small subunit protein S20. [Protein synthesis, Ribosomal proteins: synthesis and modification]	87
16556	129141	TIGR00030	S21p	ribosomal protein S21. This model describes bacterial ribosomal protein S21 and most mitochondrial and chloroplast equivalents. [Protein synthesis, Ribosomal proteins: synthesis and modification]	58
16584	272880	TIGR00059	L17	ribosomal protein L17. Eubacterial and mitochondrial. The mitochondrial form, from yeast, contains an additional 110 amino acids C-terminal to the region found by this model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	111
16585	272881	TIGR00060	L18_bact	ribosomal protein L18, bacterial type. The archaeal and eukaryotic type rpL18 is not detectable under this model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	114
16586	129171	TIGR00061	L21	ribosomal protein L21. Eubacterial and chloroplast. [Protein synthesis, Ribosomal proteins: synthesis and modification]	101
16587	272882	TIGR00062	L27	ribosomal protein L27. Eubacterial, chloroplast, and mitochondrial. Mitochondrial members have an additional C-terminal domain. [Protein synthesis, Ribosomal proteins: synthesis and modification]	84
16626	272907	TIGR00105	L31	ribosomal protein L31. This family consists exclusively of bacterial (and organellar) 50S ribosomal protein L31. In some species, such as Bacillus subtilis, this protein exists in two forms (RpmE and YtiA), one of which (RpmE) contains a pair of motifs, CXC and CXXC, for binding zinc. [Protein synthesis, Ribosomal proteins: synthesis and modification]	68
16676	129262	TIGR00158	L9	ribosomal protein L9. Ribosomal protein L9 appears to be universal in, but restricted to, eubacteria and chloroplast. [Protein synthesis, Ribosomal proteins: synthesis and modification]	148
16683	272937	TIGR00165	S18	ribosomal protein S18. This ribosomal small subunit protein is found in all eubacteria so far, as well as in chloroplasts. YER050C from Saccharomyces cerevisiae and a related protein from Caenorhabditis elegans appear to be homologous and may represent mitochondrial forms. The trusted cutoff is set high enough that these two candidate S18 proteins are not categorized automatically. [Protein synthesis, Ribosomal proteins: synthesis and modification]	70
16684	129270	TIGR00166	S6	ribosomal protein S6. The ribosomal protein S6 ortholog family, including yeast MRP17, shows more than two-fold length variation from 95 residues in Bacillus subtilis to 215 in Mycoplasma pneumoniae. This length variation comes primarily from poorly conserved C-terminal extensions that are particularly long in the Mycoplasmas. MRP17 protein is a component of the small ribosomal subunit in mitochondria, and is shown here to be an ortholog of S6. [Protein synthesis, Ribosomal proteins: synthesis and modification]	93
16794	129380	TIGR00279	uL16_euk_arch	ribosomal protein uL16(L10.e), eukarotic/archaeal form. This model finds the archaeal and eukaryotic forms of ribosomal protein uL16, previously L10.e. The protein is encoded by multiple loci in some eukaryotes and has been assigned a number of extra-ribosomal functions, some of which will require re-evaluation in the context of identification as a ribosomal protein. L10.e is distantly related to eubacterial ribosomal protein L16. [Protein synthesis, Ribosomal proteins: synthesis and modification]	172
16795	272996	TIGR00280	eL43_euk_arch	ribosomal protein eL43. This model finds eukaryotic ribosomal protein eL43 (previously L37a) and its archaeal orthologs. The nomeclature is tricky because eukaryotes have proteins called both L37 and L37a. [Protein synthesis, Ribosomal proteins: synthesis and modification]	92
16821	129407	TIGR00307	eS8	ribosomal protein eS8. Archaeal and eukaryotic ribosomal protein S8. This model could easily have been split into two models, one for eukaryotic S8 and one for archaeal S8; eukaryotic forms invariably have in insert of about 80 residues that archaeal forms of S8 do not. [Protein synthesis, Ribosomal proteins: synthesis and modification]	127
17213	273232	TIGR00717	rpsA	ribosomal protein S1. This model describes ribosomal protein S1, RpsA. This protein is found in most bacterial genomes in a single copy, but is not present in the Mycoplasmas. It is heterogeneous with respect to the number of repeats of the S1 RNA binding domain described by pfam00575: six repeats in E. coli and most other bacteria, four in Bacillus subtilis and some other species. rpsA is an essential gene in E. coli but not in B. subtilis. It is associated with the cytidylate kinase gene cmk in many species, and fused to it in Treponema pallidum. RpsA is proposed (Medline:97323001) to assist in mRNA degradation. This model provides trusted hits to most long form (6 repeat) examples of RpsA. Among homologs with only four repeats are some to which other (perhaps secondary) functions have been assigned. [Protein synthesis, Ribosomal proteins: synthesis and modification]	516
17227	273237	TIGR00731	bL25_bact_ctc	ribosomal protein bL25, Ctc-form. This model models a family of proteins with full-length homology to the general stress protein Ctc of Bacillus subtilis, a mesophile, and ribosomal protein TL5 of Thermus thermophilus, a thermophile. Ribosomal protein L25 of Escherichia coli and H. influenzae appear to be orthologous but consist only of the N-terminal half of Ctc and TL5. Both short (L25-like) and full-length (CTC-like) members of this family bind the E-loop of bacterial 5S rRNA. This protein appears to be restricted to bacteria and organelles, and consists of at most one copy per prokaryotic genome.Ctc of Bacillus subtilis has now been localized to ribosomes and can be viewed as the long form, or Ctc form, of L25. The C-terminal domain of sll1824, an apparent L25 of Synechocystis PCC6803, matches the N-terminal domain of this family. Examples of L25 and Ctc are not separated by a UPGMA tree built on the region of shared homology. [Protein synthesis, Ribosomal proteins: synthesis and modification]	176
17347	273301	TIGR00855	L12	ribosomal protein L7/L12. Ribosomal proteins L7 and L12 are synonymous except for post-translational modification of the N-terminal amino acid. THis model resembles pfam00542 but matches the full length of prokaryotic and organellar proteins rather than just the C-terminus. [Protein synthesis, Ribosomal proteins: synthesis and modification]	123
17440	130027	TIGR00952	S15_bact	ribosomal protein S15, bacterial/organelle. This model is built to recognize specifically bacterial, chloroplast, and mitochondrial ribosomal protein S15. The homologous proteins of Archaea and Eukarya are designated S13. [Protein synthesis, Ribosomal proteins: synthesis and modification]	86
17466	130054	TIGR00981	rpsL_bact	ribosomal protein S12, bacterial/organelle. This model recognizes ribosomal protein S12 of Bacteria, mitochondria, and chloroplasts. The homologous ribosomal proteins of Archaea and Eukarya, termed S23 in Eukarya and S12 or S23 in Archaea, score below the trusted cutoff. [Protein synthesis, Ribosomal proteins: synthesis and modification]	124
17467	273377	TIGR00982	uS12_E_A	ribosomal protein uS12, eukaryotic/archaeal form. This model represents eukaryotic and archaeal forms of ribosomal protein uS12. This protein was known previously as S23 in eukaryotes and as either S12 or S23 in the Archaea. [Protein synthesis, Ribosomal proteins: synthesis and modification]	139
17493	273393	TIGR01008	uS3_euk_arch	ribosomal protein uS3, eukaryotic/archaeal type. This model describes ribosomal protein S3 of the eukaryotic cytosol and of the archaea. TIGRFAMs model TIGR01009 describes the bacterial/organellar type, although the organellar types have a different architecture with long insertions and may score poorly. [Protein synthesis, Ribosomal proteins: synthesis and modification]	195
17494	130082	TIGR01009	rpsC_bact	ribosomal protein S3, bacterial type. This model describes the bacterial type of ribosomal protein S3. Chloroplast and mitochondrial forms have large, variable inserts between conserved N-terminal and C-terminal domains. This model recognizes all bacterial forms and many chloroplast forms above the trusted cutoff score. TIGRFAMs model TIGR01008 describes S3 of the eukaryotic cytosol and of the archaea. [Protein synthesis, Ribosomal proteins: synthesis and modification]	211
17496	130084	TIGR01011	rpsB_bact	ribosomal protein S2, bacterial type. This model describes the bacterial, ribosomal, and chloroplast forms of ribosomal protein S2. TIGR01012 describes the archaeal and cytosolic forms. [Protein synthesis, Ribosomal proteins: synthesis and modification]	225
17497	273394	TIGR01012	uS2_euk_arch	ribosomal protein uS2, eukaryotic/archaeal form. This model describes the ribosomal protein of the cytosol and of Archaea, homologous to S2 of bacteria. It is designated typically as Sa in eukaryotes and Sa or S2 in the archaea. TIGR01011 describes the related protein of organelles and bacteria. [Protein synthesis, Ribosomal proteins: synthesis and modification]	196
17501	200066	TIGR01017	rpsD_bact	ribosomal protein S4, bacterial/organelle type. This model finds organelle (chloroplast and mitochondrial) ribosomal protein S4 as well as bacterial ribosomal protein S4. [Protein synthesis, Ribosomal proteins: synthesis and modification]	200
17502	273397	TIGR01018	uS4_arch	ribosomal protein uS4, eukaryotic/archaeal type. This model finds eukaryotic ribosomal protein S9 as well as archaeal ribosomal protein S4. [Protein synthesis, Ribosomal proteins: synthesis and modification]	162
17504	273398	TIGR01020	uS5_euk_arch	ribosomal protein uS5, eukaryotic/archaeal form. This model finds eukaryotic ribosomal protein uS5 (previously S2 in yeast and human) as well as archaeal ribosomal protein uS5. [Protein synthesis, Ribosomal proteins: synthesis and modification]	212
17505	130093	TIGR01021	rpsE_bact	ribosomal protein S5, bacterial/organelle type. This model finds chloroplast ribosomal protein S5 as well as bacterial ribosomal protein S5. A candidate mitochondrial form (Saccharomyces cerevisiae YBR251W and its homolog) differs substantially and is not included in this model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	154
17506	130094	TIGR01022	rpmJ_bact	ribosomal protein L36, bacterial type. Proteins found by this model occur exclusively in bacteria and organelles. [Protein synthesis, Ribosomal proteins: synthesis and modification]	37
17507	273399	TIGR01023	rpmG_bact	ribosomal protein L33, bacterial type. This model describes bacterial ribosomal protein L33 and its chloroplast and mitochondrial equivalents. [Protein synthesis, Ribosomal proteins: synthesis and modification]	54
17508	130096	TIGR01024	rplS_bact	ribosomal protein L19, bacterial type. This model describes bacterial ribosomoal protein L19 and its chloroplast equivalent. Putative mitochondrial L19 are found in several species (but not Saccharomyces cerevisiae) and score between trusted and noise cutoffs. [Protein synthesis, Ribosomal proteins: synthesis and modification]	113
17509	273400	TIGR01025	uS19_arch	ribosomal protein uS19, eukaryotic/archaeal form. This model represents eukaryotic ribosomal protein uS19 (previously S15) and its archaeal equivalent. It excludes bacterial and organellar ribosomal protein S19. The nomenclature for the archaeal members is unresolved and given variously as S19 (after the more distant bacterial homologs) or S15. [Protein synthesis, Ribosomal proteins: synthesis and modification]	135
17512	273402	TIGR01028	uS7_euk_arch	ribosomal protein uS7, eukaryotic/archaeal. This model describes the members from the eukaryotic cytosol and the Archaea of the family that includes ribosomal protein uS7 (previously S5 in yeast and human). A separate model describes bacterial and organellar S7. [Protein synthesis, Ribosomal proteins: synthesis and modification]	186
17513	273403	TIGR01029	rpsG_bact	ribosomal protein S7, bacterial/organelle. This model describes the bacterial and organellar branch of the ribosomal protein S7 family (includes prokaroytic S7 and eukaryotic S5). The eukaryotic and archaeal branch is described by model TIGR01028. [Protein synthesis, Ribosomal proteins: synthesis and modification]	154
17514	130102	TIGR01030	rpmH_bact	ribosomal protein L34, bacterial type. This model describes the bacterial protein L34 and its equivalents in organelles. [Protein synthesis, Ribosomal proteins: synthesis and modification]	44
17515	273404	TIGR01031	rpmF_bact	ribosomal protein L32. This protein describes bacterial ribosomal protein L32. The noise cutoff is set low enough to include the equivalent protein from mitochondria and chloroplasts. No related proteins from the Archaea nor from the eukaryotic cytosol are detected by this model. This model is a fragment model; the putative L32 of some species shows similarity only toward the N-terminus. [Protein synthesis, Ribosomal proteins: synthesis and modification]	55
17516	130104	TIGR01032	rplT_bact	ribosomal protein L20. This model describes bacterial ribosomal protein L20 and its chloroplast equvalent. This protein binds directly to 23s ribosomal RNA and is necessary for the in vitro assembly process of the 50s ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit. GO process changed accordingly (SS 5/09/03) [Protein synthesis, Ribosomal proteins: synthesis and modification]	113
17522	273409	TIGR01038	uL22_arch_euk	ribosomal protein uL22, eukaryotic/archaeal form. This model describes the ribosomal protein uL22 of the eukaryotic cytosol and of the Archaea, previously designated as L17, L22, and L23. The corresponding bacterial form of uL22 is described by a separate model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	148
17528	130116	TIGR01044	rplV_bact	ribosomal protein L22, bacterial type. This model decribes bacterial and chloroplast ribosomal protein L22. [Protein synthesis, Ribosomal proteins: synthesis and modification]	103
17530	273413	TIGR01046	uS10_euk_arch	ribosomal protein uS10, eukaryotic/archaeal. This model describes the archaeal ribosomal protein uS10 and its equivalents (previously called S20) in eukaryotes. [Protein synthesis, Ribosomal proteins: synthesis and modification]	99
17533	130121	TIGR01049	rpsJ_bact	ribosomal protein S10, bacterial/organelle. This model describes bacterial 30S ribosomal protein S10. In species that have a transcription antitermination complex, or N utilization substance, with NusA, NusB, NusG, and NusE, this ribosomal protein is responsible for NusE activity. Included in the family are one member each from Saccharomyces cerevisiae and Schizosaccharomyces pombe. These proteins lack an N-terminal mitochondrial transit peptide but contain additional sequence C-terminal to the ribosomal S10 protein region. [Protein synthesis, Ribosomal proteins: synthesis and modification]	99
17534	130122	TIGR01050	rpsS_bact	ribosomal protein S19, bacterial/organelle. The homologous protein of the eukaryotic cytosol and of the Archaea may be designated S15 or S19. [Protein synthesis, Ribosomal proteins: synthesis and modification]	92
17550	162186	TIGR01066	rplM_bact	ribosomal protein L13, bacterial type. This model distinguishes ribosomal protein L13 of bacteria and organelles from its eukarytotic and archaeal counterparts. [Protein synthesis, Ribosomal proteins: synthesis and modification]	140
17551	273426	TIGR01067	rplN_bact	ribosomal protein L14, bacterial/organelle. This model distinguishes bacterial and most organellar examples of ribosomal protein L14 from all archaeal and eukaryotic forms. [Protein synthesis, Ribosomal proteins: synthesis and modification]	122
17555	273428	TIGR01071	rplO_bact	ribosomal protein L15, bacterial/organelle. [Protein synthesis, Ribosomal proteins: synthesis and modification]	145
17561	162192	TIGR01077	L13_A_E	ribosomal protein uL13, archaeal/eukaryotic form. This model represents ribosomal protein of L13 from the Archaea and from the eukaryotic cytosol. Bacterial and organellar forms are represented by model TIGR01066. [Protein synthesis, Ribosomal proteins: synthesis and modification]	142
17563	273431	TIGR01079	rplX_bact	ribosomal protein L24, bacterial/organelle. This model recognizes bacterial and organellar forms of ribosomal protein L24. It excludes eukaryotic and archaeal forms, designated L26 in eukaryotes. [Protein synthesis, Ribosomal proteins: synthesis and modification]	102
17564	273432	TIGR01080	rplX_A_E	ribosomal protein uL24, archaeal/eukaryotic form. This model represents the archaeal and eukaryotic branch of the ribosomal protein L24p/L26e family. Bacterial and organellar forms are represented by related model TIGR01079. [Protein synthesis, Ribosomal proteins: synthesis and modification]	114
17644	273476	TIGR01164	rplP_bact	ribosomal protein L16, bacterial/organelle. This model describes bacterial and organellar ribosomal protein L16. The homologous protein of the eukaryotic cytosol is designated L10 [Protein synthesis, Ribosomal proteins: synthesis and modification]	125
17649	211630	TIGR01169	rplA_bact	ribosomal protein L1, bacterial/chloroplast. This model describes bacterial (and chloroplast) ribosomal protein L1. The apparent mitochondrial L1 is sufficiently diverged to be the subject of a separate model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	227
17650	273480	TIGR01170	rplA_mito	ribosomal protein uL1, mitochondrial. This model represents the mitochondrial homolog of bacterial ribosomal protein L1. Unlike chloroplast L1, this form was not sufficiently similar to bacterial forms to include in a single bacterial/organellar L1 model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	141
17651	273481	TIGR01171	rplB_bact	ribosomal protein L2, bacterial/organellar. This model distinguishes bacterial and organellar ribosomal protein L2 from its counterparts in the archaea nad in the eukaryotic cytosol. Plant mitochondrial examples tend to have long, variable inserts. [Protein synthesis, Ribosomal proteins: synthesis and modification]	273
17787	130375	TIGR01308	rpmD_bact	ribosomal protein L30, bacterial/organelle. This model describes bacterial (and organellar) 50S ribosomal protein L30. Homologous ribosomal proteins of the eukaryotic cytosol and of the archaea differ substantially in architecture, from bacterial L30 and also from each other, and are described by separate models. [Protein synthesis, Ribosomal proteins: synthesis and modification]	55
17788	130376	TIGR01309	uL30_arch	50S ribosomal protein uL30, archaeal form. This model represents the archaeal ribosomal protein similar to longer (~ 250 residue) eukaryotic 60S ribosomal protein L7 and to the much shorter (~ 60 residue) bacterial 50S ribosomal protein L30. Protein naming follows the SwissProt designation as L30P, while the gene symbol rpmD follows TIGR usage. [Protein synthesis, Ribosomal proteins: synthesis and modification]	152
17789	273548	TIGR01310	uL30_euk	60S ribosomal protein uL30, eukaryotic form. This model describes the eukaryotic 60S (cytosolic) ribosomal protein uL30 (previously L7) and paralogs that may or may not also be uL30. Human, Drosophila, and Arabidopsis all have both a typical L7 and an L7-related paralog. This family is designated subfamily rather than equivalog to reflect these uncharacterized paralogs. Members of this family average ~ 250 residues in length, somewhat longer than the archaeal L30P/L7E homolog (~ 155 residues) and much longer than the related bacterial/organellar form (~ 60 residues).	235
18105	233500	TIGR01632	L11_bact	50S ribosomal protein uL11, bacterial form. This model represents bacterial, chloroplast, and most mitochondrial forms of 50S ribosomal protein L11. [Protein synthesis, Ribosomal proteins: synthesis and modification]	140
20072	274684	TIGR03625	L3_bact	50S ribosomal protein uL3, bacterial form. This model describes bacterial (and mitochondrial and chloroplast) class of ribosomal protein L3. A separate model describes the archaeal form, where both belong to pfam00297. The name is phrased to meet the needs of bacterial genome annotation. Organellar forms typically will have transit peptides, N-terminal to the region modeled here.	202
20073	274685	TIGR03626	L3_arch	ribosomal protein uL3, archaeal form. This model describes exclusively the archaeal class of ribosomal protein L3. A separate model (TIGR03625) describes the bacterial/organelle form, and both belong to pfam00297. Eukaryotic proteins are excluded from this model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	330
20074	132666	TIGR03627	uS9_arch	ribosomal protein uS9, archaeal form. This model describes exclusively the archaeal ribosomal protein S9P. Homologous eukaryotic and bacterial ribosomal proteins are excluded from this model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	130
20075	274686	TIGR03628	arch_S11P	ribosomal protein uS11P, archaeal form. This model describes exclusively the archaeal ribosomal protein S11P. It excludes homologous ribosomal proteins S14 from eukaryotes and S11 from bacteria. [Protein synthesis, Ribosomal proteins: synthesis and modification]	117
20076	213839	TIGR03629	uS13_arch	ribosomal protein uS13, archaeal form. This model describes exclusively the archaeal ribosomal protein S13P. It excludes the homologous eukaryotic 40S ribosomal protein S18 and bacterial 30S ribosomal protein S13. [Protein synthesis, Ribosomal proteins: synthesis and modification]	144
20077	274687	TIGR03630	uS17_arch	ribosomal protein uS17, archaeal form. This model describes exclusively the archaeal ribosomal protein S17P. It excludes the homologous ribosomal protein S17 from bacteria, and is not intended for use on eukaryotic sequences, where some instances of ribosomal proteins S11 score above the trusted cutoff. [Protein synthesis, Ribosomal proteins: synthesis and modification]	102
20078	274688	TIGR03631	uS13_bact	ribosomal protein uS13, bacterial form. This model describes bacterial ribosomal protein S13, to the exclusion of the homologous archaeal S13P and eukaryotic ribosomal protein S18. This model identifies some (but not all) instances of chloroplast and mitochondrial S13, which is of bacterial type. [Protein synthesis, Ribosomal proteins: synthesis and modification]	113
20079	274689	TIGR03632	uS11_bact	ribosomal protein uS11, bacterial form. This model describes the bacterial 30S ribosomal protein S11. Cutoffs are set such that the model excludes archaeal and eukaryotic ribosomal proteins, but many chloroplast and mitochondrial equivalents of S11 are detected. [Protein synthesis, Ribosomal proteins: synthesis and modification]	108
20082	274691	TIGR03635	uS17_bact	ribosomal protein uS17, bacterial form. This model describes the bacterial ribosomal small subunit protein S17, while excluding cytosolic eukaryotic homologs and archaeal homologs. The model finds many, but not, chloroplast and mitochondrial counterparts to bacterial S17. [Protein synthesis, Ribosomal proteins: synthesis and modification]	72
20083	274692	TIGR03636	uL23_arch	ribosomal protein uL23, archaeal form. This model describes the archaeal ribosomal protein L23P and rigorously excludes the bacterial counterpart L23. In order to capture every known instance of archaeal L23P, the trusted cutoff is set lower than a few of the highest scoring eukaryotic cytosolic ribosomal counterparts. [Protein synthesis, Ribosomal proteins: synthesis and modification]	77
20100	274702	TIGR03653	uL6_arch	ribosomal protein uL6, archaeal form. Members of this protein family are the archaeal form ofribosomal protein uL6 (previously L9 in yeast and human). The top-scoring proteins not selected by this model are eukaryotic cytosolic uL6. Bacterial ribosomal protein L6 scores lower and is described by a distinct model. [Protein synthesis, Ribosomal proteins: synthesis and modification]	170
20101	274703	TIGR03654	L6_bact	ribosomal protein L6, bacterial type. [Protein synthesis, Ribosomal proteins: synthesis and modification]	175
20119	274715	TIGR03672	rpl4p_arch	50S ribosomal protein uL4, archaeal form. One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome.	251
20120	274716	TIGR03673	uL14_arch	50S ribosomal protein uL14, archaeal form. Part of the 50S ribosomal subunit. Forms a cluster with proteins L3 and L24e, part of which may contact the 16S rRNA in 2 intersubunit bridges.	131
20124	188367	TIGR03677	eL8_ribo	ribosomal protein eL8, archaeal form. This model specifically identifies the archaeal version of the large ribosomal complex protein eL8, previously designated L8 in yeast and L7Ae in the archaea. The family is a narrower version of the pfam01248 model which also recognizes the L30 protein.	117
20131	274724	TIGR03685	ribo_P1_arch	50S ribosomal protein P1. This model represents P1 the L12P protein of the large (50S) subunit of the archaeal ribosome.	105
20399	274877	TIGR03953	rplD_bact	50S ribosomal protein L4, bacterial/organelle. Members of this protein family are ribosomal protein L4. This model recognizes bacterial and most organellar forms, but excludes homologs from the eukaryotic cytoplasm and from archaea. [Protein synthesis, Ribosomal proteins: synthesis and modification]	188
21004	275353	TIGR04560	ribo_THX	ribosomal small subunit protein bTHX. Members of this protein are the lineage-specific bacterial ribosomal small subunit proteint bTHX (previously THX), originally shown to exist in the genus Thermus. The protein is conserved for the first 26 amino acids, past which some members continue with additional sequence, often repetitive or low-complexity. This model also finds eukaryotic organelle forms, which have additional N-terminal transit peptides. [Protein synthesis, Ribosomal proteins: synthesis and modification]	26
21116	411802	cd00105	KH-I	K homology (KH) RNA-binding domain, type I. KH binds single-stranded RNA or DNA. It is found in a wide variety of proteins including ribosomal proteins, transcription factors and post-transcriptional modifiers of mRNA. There are two different KH domains that belong to different protein folds, but they share a single KH motif. The KH motif is folded into a beta alpha alpha beta unit. In addition to the core, type II KH domains (e.g. ribosomal protein S3) include an N-terminal extension and type I KH domains (e.g. hnRNP K) contain a C-terminal extension. Some KH-I superfamily members contain a divergent KH domain that lacks the RNA-binding GXXG motif. Some others have a mutated GXXG motif which may or may not have nucleic acid binding ability.	63
21311	238196	cd00319	Ribosomal_S12_like	Ribosomal protein S12-like family; composed of  prokaryotic 30S ribosomal protein S12, eukaryotic 40S ribosomal protein S23 and similar proteins. S12 and S23 are located at the interface of the large and small ribosomal subunits, adjacent to the decoding center. They play an important role in translocation during the peptide elongation step of protein synthesis. They are also involved in important RNA and protein interactions. Ribosomal protein S12 is essential for maintenance of a pretranslocation state and, together with S13, functions as a control element for the rRNA- and tRNA-driven movements of translocation. S23 interacts with domain III of the eukaryotic elongation factor 2 (eEF2), which catalyzes translocation. Mutations in S12 and S23 have been found to affect translational accuracy. Antibiotics such as streptomycin may also bind S12/S23 and cause the ribosome to misread the genetic code.	95
21315	271245	cd00323	uS7	Ribosomal protein S7. uS7, also known as Ribosomal protein (RP)S7, is an important part of the translation process which is universally present in the small subunit of prokaryotic and eukaryotic ribosomes. The ribosome small subunit is one of the two subunits of ribosome organelles that use mRNA as a template for protein synthesis in a process called translation. The small subunits of bacteria and eukaryotes have the same shape of head, body, platform, beak, and shoulder. RPS7 is located at the head of the small subunit. RPS7 is a primary ribosomal RNA (rRNA) binding protein that assists in rRNA folding and the binding of other proteins during small subunit assembly in all species. RPS7 is also involved in the formation of the mRNA exit channel at the interface of the large and small subunits. Some ribosomal proteins have extra ribosomal functions in cell differentiation and apoptosis.	130
21325	238205	cd00336	Ribosomal_L22	Ribosomal protein L22/L17e.  L22 (L17 in eukaryotes) is a core protein of the large ribosomal subunit.  It is the only ribosomal protein that interacts with all six domains of 23S rRNA, and is one of the proteins important for directing the proper folding and stabilizing the conformation of 23S rRNA.  L22 is the largest protein contributor to the surface of the polypeptide exit channel, the tunnel through which the polypeptide product passes.  L22 is also one of six proteins located at the putative translocon binding site on the exterior surface of the ribosome.	105
